Feature,Random Forest,Gradient Boosting,Average Importance
alcohol,0.15622780481815457,0.21325496445107997,0.18474138463461726
volatile acidity,0.12973817225292048,0.1437545878247451,0.13674638003883277
sulphates,0.1126451391703633,0.14529064840126166,0.12896789378581247
density,0.08799181405837787,0.08696037299134939,0.08747609352486363
total sulfur dioxide,0.07803999856469888,0.08903386280542541,0.08353693068506216
residual sugar,0.08196817471791118,0.08246001132778562,0.0822140930228484
fixed acidity,0.07898976030757794,0.06469580634344649,0.07184278332551222
citric acid,0.07975802689804515,0.04929295662487191,0.06452549176145853
free sulfur dioxide,0.06207427400539839,0.05058470979059799,0.056329491897998185
pH,0.06508511575655401,0.040174322387716725,0.05262971907213537
chlorides,0.06748171944999826,0.0344977570517197,0.05098973825085898
